Timestamp,Device_ID,Data_Type,Value
2025-02-28 19:30:53.551,2,Position_J2,-28.96
2025-02-28 19:30:53.551,2,Override,20
2025-02-28 19:30:53.551,2,STEP_ENB,0
2025-02-28 19:30:53.551,2,F[6],[False]
2025-02-28 19:30:53.654,2,DI[10],False
2025-02-28 19:30:53.654,2,R[5],5.0
2025-02-28 19:30:53.654,2,OVC_J2,0.121
2025-02-28 19:30:53.654,2,Position_J2,-28.78
2025-02-28 19:30:53.654,2,Override,20
2025-02-28 19:30:53.654,2,STEP_ENB,0
2025-02-28 19:30:53.654,2,F[6],[False]
2025-02-28 19:30:53.759,2,DI[10],False
2025-02-28 19:30:53.759,2,R[5],5.0
2025-02-28 19:30:53.759,2,OVC_J2,0.121
2025-02-28 19:30:53.759,2,Position_J2,-28.59
2025-02-28 19:30:53.759,2,Override,20
2025-02-28 19:30:53.759,2,STEP_ENB,0
2025-02-28 19:30:53.759,2,F[6],[False]
2025-02-28 19:30:53.863,2,DI[10],False
2025-02-28 19:30:53.863,2,R[5],5.0
2025-02-28 19:30:53.863,2,OVC_J2,0.121
2025-02-28 19:30:53.863,2,Position_J2,-28.41
2025-02-28 19:30:53.863,2,Override,20
2025-02-28 19:30:53.863,2,STEP_ENB,0
2025-02-28 19:30:53.863,2,F[6],[False]
2025-02-28 19:30:53.967,2,DI[10],False
2025-02-28 19:30:53.967,2,R[5],5.0
2025-02-28 19:30:53.967,2,OVC_J2,0.121
2025-02-28 19:30:53.967,2,Position_J2,-28.22
2025-02-28 19:30:53.967,2,Override,20
2025-02-28 19:30:53.967,2,STEP_ENB,0
2025-02-28 19:30:53.967,2,F[6],[False]
2025-02-28 19:30:54.071,2,DI[10],False
2025-02-28 19:30:54.071,2,R[5],5.0
2025-02-28 19:30:54.071,2,OVC_J2,0.121
2025-02-28 19:30:54.071,2,Position_J2,-28.04
2025-02-28 19:30:54.071,2,Override,20
2025-02-28 19:30:54.071,2,STEP_ENB,0
2025-02-28 19:30:54.071,2,F[6],[False]
2025-02-28 19:30:54.174,2,DI[10],False
2025-02-28 19:30:54.174,2,R[5],5.0
2025-02-28 19:30:54.174,2,OVC_J2,0.121
2025-02-28 19:30:54.174,2,Position_J2,-27.86
2025-02-28 19:30:54.174,2,Override,15
2025-02-28 19:30:54.174,2,STEP_ENB,0
2025-02-28 19:30:54.174,2,F[6],[False]
2025-02-28 19:30:54.279,2,DI[10],False
2025-02-28 19:30:54.279,2,R[5],5.0
2025-02-28 19:30:54.279,2,OVC_J2,0.121
2025-02-28 19:30:54.279,2,Position_J2,-27.72
2025-02-28 19:30:54.279,2,Override,15
2025-02-28 19:30:54.279,2,STEP_ENB,0
2025-02-28 19:30:54.279,2,F[6],[False]
2025-02-28 19:30:54.383,2,DI[10],False
2025-02-28 19:30:54.383,2,R[5],5.0
2025-02-28 19:30:54.383,2,OVC_J2,0.121
2025-02-28 19:30:54.383,2,Position_J2,-27.59
2025-02-28 19:30:54.383,2,Override,15
2025-02-28 19:30:54.383,2,STEP_ENB,0
2025-02-28 19:30:54.383,2,F[6],[False]
2025-02-28 19:30:54.486,2,DI[10],False
2025-02-28 19:30:54.486,2,R[5],5.0
2025-02-28 19:30:54.486,2,OVC_J2,0.121
2025-02-28 19:30:54.486,2,Position_J2,-27.45
2025-02-28 19:30:54.486,2,Override,15
2025-02-28 19:30:54.486,2,STEP_ENB,0
2025-02-28 19:30:54.486,2,F[6],[False]
2025-02-28 19:30:54.591,2,DI[10],False
2025-02-28 19:30:54.591,2,R[5],5.0
2025-02-28 19:30:54.591,2,OVC_J2,0.121
2025-02-28 19:30:54.591,2,Position_J2,-27.32
2025-02-28 19:30:54.591,2,Override,15
2025-02-28 19:30:54.591,2,STEP_ENB,0
2025-02-28 19:30:54.591,2,F[6],[False]
2025-02-28 19:30:54.695,2,DI[10],False
